TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Editorial Producer (booker),ABC News,"77,000",F POC,4,NYC,"Book guests for national news, develop long-term stories and relationships",
Associate Digital Producer,ABC NEWS,"70,000",White Male,3,NYC,Produce short videos for the website,
Senior reporter ,ABC News ,"$110,000 ","cis female, white ",15,Midwest,primarily feature writing ,"Freelance: Earned $50,000 the year I began and $100,000 my last year freelancing. 
Assistant Editor at an independent magazine: $30,000"
Reporter,Acuris,55000,White CIS Male,3,Western US City,"Cover industry-specific news with a financial focus, including analysis and company profiles, interviews with CEOs and bankers.","Previous work at a small legal paper, 50,000 starting, 51,000 at first raise (5 months in) 54,000 at second raise (1.5 years in). Contract marketing work prior, 14-17 per hour."
Copy editor,Adams Publishing Group,$16 an hour,cis white female,2,Small metro on West Coast,"Edit stories, manage page design, run opinion page",
Senior Reporter,Adams Publishing Group,"$21,840 ",Male/Caucasion,5,"Circleville, Ohio","General Reporting, community editor","staff reporter, 20,800"
Digital Editor,Adams Publishing Group,"$30,000 ",Cis female/white,6,Idaho,"Manage all multimedia aspects of the newspaper, including video, audio, website management, newsletters, and social media strategy.",
Reporter,Adams Publishing Group/APG Chesapeake,"$30,000 ",Cis white woman,4,Maryland,"Beat reporter assigned to crime, municipal government writing 10 stories/week for twice-weekly publication. I do all my own photography and most of my own editing because we are incredibly poorly staffed.","Company used to be owned by Washington Post before Jeff Bezos sold it in 2015: had worked here then from 2011-2014. Previously a communications worker in state government making $57,000/annually."
Data Journalist,Advance,"$41,000 ",cis POC female,5+ years,NY metro area,"data analysis, reporting, graphics, design",
Data Reporter,Advance,"$75,000 ",cis-het white male,15,NJ,"Regular original content, major projects, editing, newsroom training, mentorship, collaboration with beat reporters on graphics,  ",Started at $36K 10 years ago. 3-4 raises over the decade.  
Reporter,Advance,"$43,000 ",cis white male,3,NJ,,$33/hr as NY intern; $12/hr at internship in different city
Reporter,Advance,"57,000",cis Latina,6,Northeast,Reporting on state politics and related issues,"Started at $40,000 at a breaking news job (also in the Northeast)"
Audience Engagement,Advance Local,"$63,300 ",cis white female,4,NYC,"Social media, community management, brand management, moderation",Started at $52k (25/hr - I am hourly) 
Reporter,Advance Local,"$37,500 ",Cis female / white,1,Michigan,"Beat reporting, writing",N/A
Reporter,Advance Local,"58,000",Latina cis female ,3,NJ/NYC Metro area,"Beat reporting and writing, enterprise stories, social media. ","Three raises since hired after intership at 40,000. Intern at Advance Local about 12/hour with overtime. Intern at WNBC 10.50/hour "
Reporter,Advance Local,"82,000",cishet white male,9,East Coast ,Reporting and editing,"Entry-level web producer at 35K, reporter at $50K"
Reporter  ,Advance Local ,"$56,000 ",Female,16,,,
Reporter,Advance Local Media,"$49,000 ",Cis-het white female,15,Michigan,"Reporting, writing, editing own stories","Assistant editor at a regional magazine: $30,000
Web editor at a national magazine: $40,000"
Senior Social Producer,Ai,85000,White Female ,8,NYC,"Global Social Strategy, Managing Social Accounts, Writing, Producing Content. ",
Reporter / Content Provider,Aim Media Midwest,"25,000",Male / White,10,Ohio,"State, county, local government and politics beat reporter",
Reporter / Content Provider,Aim Media Midwest,"25,000",Male / White,10,Ohio,"State, county, local government and politics beat reporter",
Senior producer,AJ+,85000,,10,California,,
Producer,AJ+,"87,000",Cis POC Female,,California,,
Producer,AJ+,"85,000","CIS man, Hispanic",11,Washington,,"60,000"
Senior Producer,AJ+/Al Jazeera English,113000,Female/WOC,10,DC,,
Editor,AJC,101000,Cis white male,15,Atlanta,,Digital Editor/Copy Editor/Sub-editor
Head of Planning,Al Jazeera,"$135,000 ",Female/biracial,20,"Washington, D.C.",Organize and coordinate newsroom workflows and coverage,
Producer,All Over Pod,"($1,000,000)",Male,2,Milwaukee WI,Babysitting My Cohost,
Reporter,ALM Media / Law.com,73000,White male,6,NYC,,
Head of Engagement/Staffing,Alpha Creek Studio inc.,175k yr,Male,4,Florida,"To provide, staff, and oversee Journalist to multiple articles given by third party company for small to large projects",50k/Journalist/George
Editor in Chief,Alt Weekly,"$70,000 ",CiS white male,8,San Francisco,"Reporting, Editing all stories, Assigning almost all stories, helping with social media, running website, coordinate/manage freelancers, manage freelance budget","60,000"
Staff Writer,alt weekly,"$40,000 ",cis white male,24,West Coast,"Feature writing, blogging, social media sharing","alt weekly editor ($42,000), think tank journalist ($50,000), alt weekly staff writer ($27,000)"
Staff reporter,Alt Weekly,"$51,000 ",Cis Asian Female,5,Minneapolis,Investigative long-form,
Staff Writer,Alt weekly,"$22/hr, capped under 30 hrs/week so no benefits",Cis WOC,5,San Francisco Bay Area,"Lone news reporter, ~ 5 stories a week, social media",similar yearly wages as ed reporter in Minnesota
Staff Writer,Alt weekly,"$43,000 ",cis white woman,5,Chicago,"long-form investigations and features, weekly shorter news stories ","First full-time job in media. Three and a half years in this position, freelance before. Hired at $40k. Staff is unionized so got a small raise after two years through contract negotiation. First merit raise took three years and change of ownership/management."
Staff Writer,Alt Weekly ,"$40,000 ",Cis white woman ,7,Wisconsin,"News and features. Music and restaurant reviews. Frequently took my own photos. Helped with production (proofing, copy editing, writing cutlines). Weekly pitch meeting. Required to volunteer at company events. ","Started position at $37,000, got one (1) raise after a year. No retirement. Previously on staff at a daily; started at $9.50/hour (with LOTS of unpaid overtime), eventually got bumped to like $14/hour. Had retirement match. God this industry blows lol "
Online Engagement Manager,Alt weekly ,"65,000",white female ,2,"Washington, D.C. ","manage social media, newsletter engagement, digital marketing  ",
Copy Editor,Alt-Weekly,$250/week,F/W,12,Alabama,Copy editor,
assistant editor,alt-weekly,40000,cis white woman,2,mid-atlantic,"commission & edit freelancers, write & report stories, send newsletters",
Senior Producer,Amazon (Subsidiary),"106,000",cishet white woman,10,,,
associate editor,America's Test Kitchen,"48,800",female/biracial,10,Kentucky,"writing, researching, editing, testing kitchen equipment, producing photo shoots and TV show episodes","$28,000 as an editor at a very small book publisher; about the same as the managing editor of a quarterly photography magazine"
Deputy Editor,America's Test Kitchen,"$62,000 ",Cis white female,6,"Boston, MA",,
Senior editor,America’s Test Kitchen,"$52,000 ",cis white female,6,Boston,,"assistant editor = $40,000, associate editor =  $46,000"
Reporter,American City Business Journals,"$45,000 ",cis white female,3,Kansas City ,,
Reporter,American City Business Journals,"$45,000 ",cis latina female,5,"Sacramento, CA",Beat reporter,$30K as a reporter at a small town daily
Reporter,American City Business Journals ,"56,000",cis poc male,3,DC,writer,local reporter
Deputy editor,AMI,"$102,000 ",cis white female,6,NYC,"top-editing, managing team, assigning",
senior editor,AMI,"$73,000 ",cis male,6,NYC,features and FOB,
Digital Writer,AMI,"45,000",cis white woman,4,New York,,
Digital editor,amNewYork,"$56,000 ",Woman/white,8,New York City,"Report, write, edit, run website, schedule all social, posts and curate and send the daily newsletter","$54,000/things to do manager and $50,000 reporter"
"34,500",amNewYork(Schneps Media),"34,500",Cis white/latina female,2,"Brooklyn, New York",Write and take photographs for amNewYork and The Villager,Previously a freelancer in NYC
associate editor,an association,58K,CIS Woman POC,18,"Washington, DC","write stories for online newsletter, write articles for magazine, edit freelance content",
Sawyer,An Australian sawmill,42000,Straight white male,2,NSW australia,Sawmill duties,
Editor,An independent city magazine,"$80,000 ",Cis white woman,17,Florida,Everything editorial (I'm the only editor),
Production Specialist,An international business magazine ,64000,Female white cis,24,Boston,"Print production/InDesign, WordPress, HTML/XML, proofreading ","Starting salary in 1995 for Print Production Coordinator at Horticulture Magazine: $20K,"
Associate Editor,Annex Business Media,"$42,000 CAD",cis-het female,4,Toronto,"Managing three print magazines, its websites and social media. Organize workshops and business conferences sponsored by the company (requires some travel). Write and produce content for digital and print. ","Starting salary $28,000 a year at a local newspaper."
Editor,APG Media of Chesapeake,"$45,000 ","Male, white, not Hispanic",10,Maryland’s Eastern Shore,"Managed reporters, assigned stories, edited stories and proofed pages",
Managing Editor,Apple News,"$175,000 + Annual Stock",White Male (of course) ,10,Silicon Valley,Edit reviews and manage team of writers.,"Contributing Editor, Staff Writer, Editor, Managing Editor"
Managing editor,Association of Health Care Journalists,"$52,000 ",Cis white female,20,Remote,"Assigning and editing content, managing 8 regular freelancers and others as needed, social media, creating and editing conference programs and marketing materials","$33,000 publications coordinator, IRE & NICAR; $39,000 web producer, Sun-Sentinel"
Managing Editor,"Association of Health Care Journalists (please note that the already-listed ""digital coordinator"" is not a position that exists with AHCJ.)","$52,000 ",Cis female,20,California - work remotely,"Manage website content, including daily updates; supervise nine freelance journalists; assign and edit pieces about health care; compile daily enewsletter; engage with members on social media; track website traffic and interest via metrics; produce conference programs and other printed material.","$33,000/publication coordinator/IRE & NICAR; $38,000/online producer/Sun-Sentinel"
Senior reporter,Atlanta Journal-Constitution,"$97,000 ",Asian American,28,Atlanta,Columnist,
Assistant editor,Atlantic Media,"55,000",Female/White,3,Washington DC,,"67,000/Comms Director"
product management fellow,Atlantic Media/The Atlantic,"$35,000 ",cis white woman,0,"Washington, DC","QA, project management, customer support, metrics reporting",intern before this
Production Assistant,ATN,62000,White male ,2,"New York, New York",#NAME?,"-125,000 investment banking analyst
-HBS"
Editorial director,B2B trade publication,"85,000",POC woman,21,LA,"Manage all editorial, custom content for two vertical markets","63,000; editor"
Reporter,Baltimore Sun Media,"~$30,000",Cis-het-white,3,Baltimore,Suburban reporting,"$44,000 at a DC industry publication"
Reporter,Baltimore Sun Media Group/Tribune,"$35,000 ",Cis-het white female,2,"Annapolis, Maryland","beat reporter for a daily newspaper, covering city hall, military; currently on a yearlong project w/ ProPublica",N/a
Blogger,Barstool Sports,"175,000",Male ,10,New York ,Blogging and podcasting ,
Podcast Sidekick and Honorary Producer,Barstool Sports,"$25,000 + merchandise bonus",White cis blind male,2,Boston,"Submit topics for show, laugh at podcast host's jokes, make prank phone calls, and occasionally cry.","Marketing and Events Assistant / Entercom / $35,000); Podcast host / Entercom / unpaid"
Reporter,Bay Area News Group,"$58,000 ",POC female,5,"Bay Area, CA",Local government reporter,
Reporter,Bay Area News Group,"$39,500 ",Cis male white,4,SF Bay Area,Local government and news reporter/photographer,$35000 / Community reporter 
Reporter,Bay Area news website,"$82,500 ",White woman,16,Bay Area,"Daily news, social media",
Self Shooting PD ,BBC for BBC3,1750,Female/White ,12,London / America ,"Camera, journalistic research, managing talent, filming aboard, producing and directing on the ground. ",
Special Project Editor,BBC Global News Limited,$350/day,white cis woman,10,NYC,"commission and edit multi-month special section, at least two stories per week","managing editor ($110k), editorial director/general manager ($120k), senior editor ($125/hr, no benefits), senior editor ($70k), associate editor ($50k, no benefits)"
Reporter,Beaver Dam Partners,"32,200",Female,3,Massachusetts,"Reporting, writing, copyediting, layout, social media",
Reporter,Berkshire Eagle,"28,600",male white,2,"Pittsfield, Massachusetts","Broad coverage of far flung rural area, including extensive driving time ",
Reporter with some data entry,Berkshire Hathaway Media,"31, 500",White/non-binary,2,"Omaha, NE",,
Writer,BET ,250/article,CIS POC Female,10,New York,Writer,
Producer,BFM MEDIA,"USD$1,700",Asian,10,Malaysia,Producing and presenting multiple radio shows daily. Podcasting and research on numerous topics,
Digital Coordinator,BH Media,"$35,500 ",cis mixed female,4 years of digital journalism experience,Virginia,"Manage social media feeds and engage with site's audience, work with reporters to  make sure website is up to date, publish daily newsletters, schedule features, track analytics using Google Analytics/Parsely, coordinate breaking news, send mobile push alerts",Freelanced for various sites with varying rates; started current job with a salary of $34k/year and recieved a raise one year into the job.
Copy Editor/Page Designer,BH Media,"$42,000 ",cis white female,18 years,Virginia,"Designing a variety of pages including front page/features/special sections. Supervising the copy desk. Editing copy. Writing headlines, cutlines, etc. Updating website. Editing and choosing photos. Pitching stories at afternoon budget meeting. Wire. ",
Reporter,BH Media,"$36,057 ",cis bi white male,4,Virginia,Reporter on local government,"$30,000, reporter"
Reporter,BH Media,"$28,000 ",Cis Male White,4,Southeast U.S.,"Reporting (Daily news/enterprise/features/data driven/investigative), writing, photography, data analysis, graphics/data vis. ","Freelance for a daily paper $50 per assignment, internship at a daily paper $12 per hour. "
reporter,BH Media,"38,000",,5,Virginia,"covering multiple beats, reporting, writing","Another BH property at 30,500 "
Associate Editor,BH Media,"$35,000 ",Cis white woman,5,Nebraska,"Pitching, assigning, writing, and editing content for special sections; managing seven regular freelancers and others as needed; coordinating, creating, and responding to social media; designing and editing daily copy and pages; uploading all daily content to the web.","Copy Editor/Page Designer, $32,000"
Reporter,BH Media,"$36,000 ",Woman/White,3,Virginia,My beat and anything else that pops up,"$28,000 at a community newspaper"
Digital Content Coordinator,BH Media,"38,000",White cis female,3,Virginia,"Oversaw all social channels, newsletter production, online content, longform design, breaking news coverage. Served as data editor, visualizing data for online storytelling.",
Reporter,BH Media,45K,cis woman,5,Virginia,beat reporter,
Managing Editor,BH Media ,"35,000",Cis white woman,3,Virginia ,"Full-time reporter in addition to assigning, editing & curating contributed content for each edition. Representing the paper to higher-ups and the community. Managing all social media. ","Editorial assistant/reporter @ $10.50/hr; writer for a DC-based nonprofit @ $52,000/year. "
Assistant editor ,BH Media ,"$50,000 ",Cis white lesbian,25,,,
Reporter,BH Media Group,"$27,100 ",Cis female/white,1,NC,"reporting, writing, editing, photography ",N/A
Sales Assistant,Big 5 Publishing Company,38800,White,1,NYC,"Supporting sales reps through data entry/analysis, submitting orders, booking digital ads, etc",Internships at $15/hr
Publicist,Big 5 publishing house,"53,000",cis het white woman,5,NYC,"Planning and executing full publicity campaigns for 15-20 books per year. Includes interfacing with media, lining up review and feature coverage, setting up events and multi-city author tours, and regularly being on-call nights and weekends.",
Associate Marketing Manager,Big 5 Publishing House,"$49,500 ",cis white female,5,NYC,,"associate - $45000, assistant - $35000"
head of content,big company's small editorial pub,"130,000",white cis woman,15,New York,"editing, strategy, operations",
Office Production Assistant,Big Fish Entertainment,$210/day or 50k/year,Cis White Male,4,NYC/LA,Book flights and cars. Organize documents. Make gear and food runs,"Executive Assistant, Associate Producer, Production Assistant at NBC, HBO, Dreamworks among others"
Coordinating Producer,Big Fish Entertainment,"$100,000 ",doesnt matter,8,NY,,
Graphic Designer and Social Media Contributor,BJBSJ,"< $30,000",White cisgender male,1,Boston,Create artwork for website and social media,"Fantasy Football Writer, Lowell Sun ($20,000/yr); Statistician, Upper Deck ($25,000)"
Reporter,Blank Slate Media,30000 + optional benefits,CIS white female,2,"North Hempstead, NY","Tasked with finding and writing at least eight stories/briefs per week expected, managing relevant freelance assignments, attending/covering several late night meetings, writing headlines, and taking photos. Four reporters (plus freelancers) total covered six papers. ","Two internships, local freelance experience, and college degree in journalism. Salary at start of job ($30K) was same after two years. "
Photo Editor,Blink.la,48000,White cis female,4,"Brooklyn, NY","Curate travel, editorial and archival photos for projects for Google",Freelance Photographer/Waitress/Translator - making much less
Reporter,Bloomberg,"$80,000 + $5,000 bonus",Female/White,5,NYC,Write stories for terminal customers,
Senior Producer,Bloomberg,"$115,000 ",Male,11,NYC,"Pitch, research, interview, write, shoot, edit medium-length documentary pieces","100k as a producer, 83k as producer, 90k as producer (basically producer all the way down)"
Reporter,Bloomberg,"128,000",Cis white female ,10,New York ,Reporting and writing for Bloomberg News and BW,
Reporter,Bloomberg,"90,000 + 5k bonus",White Cis Woman,4,NYC,Reporting on a very specialized business beat ,Trade publication 65k in NYC; local newspaper reporter 30k in a different state
Entry-level reporter,Bloomberg,"60,000",female,0,New York,Reporting,
Editor,Bloomberg,115000,"Male, White",20,Middle East,"Edit, some enterprise reporting","Editor, Corporate-105,000
Editor, Corporate-98,000"
Legal reporter,Bloomberg Law,"$59,000 ",cis white man,"4 years in journalism, plus law degree",DC,"Reporting from court filings, attending court hearings, interviewing litigants and attorneys in cases, as well as other legal experts ",
Reporter,Bloomberg Law,"$58,000 ",Cis white woman,2,"Washington, DC","Cover daily news, write enterprise stories, appear on radio and TV periodically ","$57,000 starting salary, reporter"
Reporter,Bloomberg Law,"$69,950 ",bi cis white woman,2,"Washington, DC","report on legal filings, interviewing parties, attending live events and reporting from the field.",law degree
Editor,Bloomberg Law,"$71,000 ","cis female, white",3,"Washington, D.C.",,
Legal reporter,Bloomberg Law,"$68,000 ",cishet white female,2,DC,lawyer writing about litigation,
Writer/reporter,Bloomberg Law / Bloomberg BNA,"$95,000 ","cis male, white",15,remote U.S.,writing/reporting on government and legal news,"reporter/editor for corporate finance news service $65,000; reporter/editor for local newspaper $38,000"
Bureau Chief,Bloomberg News,"$130,000 ",Cis female POC,8,n/a info would reveal my identity,"Manage coverage, personnel","Editor $52,000"
Reporter,Bloomberg News,"$106,000 + annual bonus of about 3-7%","Male, Asian",5,Tokyo,"Covering company earnings, product releases, industry announcements, etc. Special focus on stock-moving scoops. ",
Reporter,Bloomberg News,"$45,000 ",CIS Male,2,London,graduated from internship to join one of the desks,
Editor,Bloomberg News,"$93,000 ",CIS male POC,6,Hong Kong,"Report, edit, assign business news with focus on companies. ","Reporter, ranged from $51,000-$60,000. Intern $13.50/hour for 10 hour days (no overtime)"
Editor,Bloomberg News,"$162,000 + $27,000 target bonus",cishet black male,27,Acela Corridor,"Editing, some writing",
Editor,Bloomberg News,"$118,000 ",,22,New York,Editing/Writing,"Same job, $121,00 (They've been cutting experienced employees' pay for a couple of years)."
Senior Editor,Bloomberg News,"210,000",cis white man,25,New York,,
Reporter,Bloomberg News,"145,000 plus bonus",Male,20,northeast U.S.,"feature writing, original enterprise reporting",
Editor,Bloomberg News,"157,000 (including bonus)",,10,Acela Corridor,"Edit stories, write some. ",
Africa Business editor,Bloomberg News ,"$77,000 ",cis male,15,South Africa,,
freelance longform writer,"Bloomberg, Springer, NYT, The Atlantic et al",$78000/ up to $2.67/word,male/white,20,"NY, LA, SF",writing features,"senior editor, features editor, producer, articles editor "
Assistant Editor,Bonnier,41000,cis gay white man,3,NYC,"writing, editing, newsletter production, managing invoices",
Staff Writer,BostInno (American Inno) ,"45,000",white cisgender woman ,3,"Boston, MA",Report and write articles and daily newsletter. Edit articles. Write and edit social media copy. Manage interns. Field internship candidates. Speak at events and moderate panels. ,"Permalance fact-checker: $23.50/hr. Editorial fellow: stipend of about $2,400/mo. Metro correspondent: about $12-13/hr. "
Part-time Digital Content Producer,Boston 25 News,"29,744","female, white",9,Boston,"Write stories from scripts, police and fire releases, press releases, create push alerts, write Facebook, Twitter and Instagram posts, digitize video from broadcasts","37,000, part-time associate copy editor, ESPN with free Disney tickets
32,000, part-time assistant copy editor, ESPN with free Disney tickets
10/hour, copy editor intern, ESPN with free Disney tickets"
Multiplatform Editor,Boston Globe,"$94,000 ",Male,13,Boston,"Copyediting, headline writing, basically just a rebrand of copyeditor for the web",
Reporter,Boston Globe,"80,000",Cis white woman,6,Boston MA,Reporting and writing ,
Multiplatform editor,Boston Globe,"$84,000 ",Cis white woman,5,"Boston, MA","Copy editing, headline writing, web production (adding photos, related links, etc), social media, newsletters, push alerts, some webpage layout. My job is on the express desk (our breaking news operation), so it’s more of a hybrid role than the folks on the print side. ","Copy editor (print only), max $71,000 with 3 years’ experience"
Columnist,Boston Globe,37500,Lesbian black transgender female,9,Boston,Daily column,
Reporter,Boston Globe,"$95,000 ",White male,16,Boston,Reporter covering a major news beat.,"95,000. Beat reporter at a different large-market daily newspaper."
web producer,Boston Globe,"46,800",cis white female,2,Boston,"Manage/layout homepage, write social media posts and breaking news alerts, report breaking news, pull wire coverage on national/international news, write up short ""buzzy"" stories, produce stories for the web, ensure metadata is correct for various newsletters.","editor/multimedia reporter for local GH paper in the Boston area. salary: $28,000"
Photographer,Boston Herald,"58,000",white,23,Boston,"Photograph, pitch stories, assign, write",
Post Production Supervisor,Bravo,$2600/week,Female cis Hispanic,2,Los Angeles,"Oversee the Post Production department on a Reality TV show (scheduling, budget, online and delivery, day to day)",Post Production Manager (5 years) at $1600/week (5% bump each year)
Reporter,Breaking Media,"$60,000 ",Cis white female,5.5,Remote / Southern California,"Report on health insurance, tech","$50,000 - Southern California business weekly, $40,000 - KC business weekly, $32,000 - first job in CO."
Producer ,BRIC ,"45,000",queer white women ,1,Brooklyn ,produce / shoot / edit ,"1 year AP, 38,000, 1 year PA 12/hr"
Reporter,BridgeTower Media,"$63,000 ",Cis white male,22,Boston,"One 1,500-word cover story, one 800-word inside story, blogging, podcasting","Senior editor, weekly newspaper/website editor, $43,000"
Director,Bristol Myers Squibb,"250,000",Cishet white,20,Usa,Information Technology,
Social Media Manager,"Britannica, Inc.","$51,000 ",Cis-Het White Female,13,Chicago,"Community management, content management, budgeting and management of paid content, editorial calendars, day-to-day posting, blogging, video script composition, graphic design, news judgement, copy editing, social media strategy, light video editing, analytics reporting, video production...","I got a 2% ""raise"" after two years at current position. Company instituted 401k match for the first time a couple months ago. Previous: Social Media Manager @ [Satire Website] ($38k/year), Social Media Specialist/Copywriter @ [Marketing Firm] ($15/hr). Before that, years of freelance/unpaid hell post Master's Degree."
Reporter,Brooklyn Eagle,"57,000",cis white male,2,Brooklyn,writing multiple stories per day as well as long form pieces covering the borough of Brooklyn,reporter at other NYC publication
Reporter,Brooklyn Eagle,"54,000",cis white female,7,Brooklyn,,Previous experience in Brooklyn news
Audience and Growth Manager,Brooklyn Eagle,"$65,000 ",Cis white woman,6,"Brooklyn, NY",,
Managing Editor,Brooklyn Eagle,"59,000",White cis woman,1.5,Brooklyn,"Overseeing team of 6 writers, editing 45+ staff stories per week, managing CMS and editorial calendar, running company Twitter account, editing freelance stories","started at 40K as a copyeditor, raised to 57k as managing editor, 5% raise after one year"
Reporter,Brooklyn Eagle ,"$50,000 ",POC/Latina/Female,4,Brooklyn,"Pitching, writing local news stories about the people and politics of Brooklyn ","Senior Editor, reporter, intern"
Reporter,Business Insider,"$65,000 ",white cis-female,3 years BI,NY-HQ,#NAME?,"42000 starting, bumped to 51000 then 55,000 in annual raises. Possible 15000 in bonus, usually ends about 65000"
Senior Staff Writer,Business Insider,"$69,999 ",,"6 years FT at multiple publications, 4 years freelance",NY-HQ,#NAME?,"- $3,000+ permalance
- Freelance contributor, online and print, highly varied ($0.45-$1.00/word)"
Senior Editor,Business Insider,"92,000 + $30,000 bonus",cis white female,7,NYC,"Lead freelance, tech, and guides coverage for ecommerce vertical. Manage a team of editors, reporters, and freelancers.","Guides editor at Business Insider: 75,000 + 10,000 bonus > 82,000 + 22,000 bonus
Mobile & wearbles editor Digital Trends: 65,000
Staff Writer at Digital Trends: 45,000
Section editor at Tech Times: 42,000
Staff Writer at Mobile.pro: 35,000
Freelancer at Mobile Geeks: $5-20 per post"
Senior Reporter,Business Insider,"$75,000 + $5,000 bonus contingent on meeting goals",cis white woman,2,NYC,"Reporting, writing","Intern at BI $15/hour
Reporter: $50,700 starting salary in 2018
$60,000 raise in 2019
$75,000 raise + promotion in 2019"
Associate Producer,Business Insider,"$53,000 ",cis het Asian male,2,New York,"Script writer, shooter, editor, animator, voice over artist","Associate Producer Year 1 - $50,700
Intern - $13/hour"
Social Media Fellow,Business Insider,$18 p/h,cis black woman,4,New York,,
Associate Producer,Business Insider,"50,000",White male,2,NYC,Video Producing,
Editor,Business Insider,"$75,000 + $10,000 bonus eligible",cis bi white woman,9,,,"Senior editor ($65k), editor ($60k), research editor ($50k)"
Associate Producer,Business Insider,$53000 + $5000 bonus,cis asian woman,2,New York,"shooter, video editor, producer",intern 13$/hr
Reporter,Business Insider,62500 + 5000 bonus,cis het white male,5,New York,"daily reporting, occasional travel for reporting",
Junior Reporter,Business Insider,"50,700",White Man,1,NYC,,
Junior Reporter,Business Insider,"$50,700 ",cis female/black,1,NYC,"pitching, reporting, writing articles","previously an intern making $15/hr, 20 hours a week"
Senior reporter,Business Insider,"$100,000 + $10k bonus",White cishet woman,4,NYC,Reporting exclusive finance news + features,4 years' experience; previously was a senior reporter at another outlet
Copy Editor,Business Insider/Insider,"$55,000 + $5,000 bonus",White cishet woman,3,New York,"Edit for clarity, accuracy, fairness, inclusivity, grammar, sense, style, spelling, punctuation","Intern at BI, $12/hour (2016)"
