"","call_date2","n"
"126",2016-09-29,169
"127",2016-10-17,169
"128",2017-03-10,169
"129",2017-09-22,169
"130",2017-10-03,169
"131",2017-11-08,169
"132",2016-05-02,168
"133",2016-07-07,168
"134",2016-10-11,168
"135",2017-04-12,168
"136",2017-08-31,168
"137",2017-12-05,168
"138",2017-12-13,168
"139",2017-12-14,168
"140",2017-12-18,168
"141",2018-05-04,168
"142",2019-10-16,168
"143",2016-09-01,167
"144",2016-12-12,167
"145",2017-01-12,167
"146",2017-08-21,167
"147",2017-09-29,167
"148",2018-02-15,167
"149",2019-06-05,167
"150",2016-04-27,166
"151",2016-10-03,166
"152",2017-04-11,166
"153",2017-09-06,166
"154",2018-01-24,166
"155",2018-04-17,166
"156",2018-04-25,166
"157",2016-04-13,165
"158",2016-05-23,165
"159",2016-12-06,165
"160",2017-03-29,165
"161",2017-05-15,165
"162",2017-08-04,165
"163",2017-09-18,165
"164",2017-11-01,165
"165",2017-11-06,165
"166",2018-03-21,165
"167",2016-05-03,164
"168",2016-11-16,164
"169",2016-12-01,164
"170",2016-06-28,163
"171",2016-08-04,163
"172",2016-08-29,163
"173",2017-03-14,163
"174",2017-07-25,163
"175",2017-09-28,163
"176",2017-11-29,163
"177",2019-10-23,163
"178",2016-05-05,162
"179",2016-08-17,162
"180",2016-09-16,162
"181",2016-11-03,162
"182",2017-09-05,162
"183",2017-10-16,162
"184",2017-11-20,162
"185",2018-04-13,162
"186",2019-07-03,162
"187",2016-07-26,161
"188",2016-09-19,161
"189",2016-12-20,161
"190",2017-06-05,161
"191",2017-07-19,161
"192",2017-08-30,161
"193",2018-02-04,161
"194",2019-06-12,161
"195",2016-04-12,160
"196",2016-05-20,160
"197",2016-10-26,160
"198",2017-05-09,160
"199",2017-07-12,160
"200",2017-12-11,160
"201",2018-02-16,160
"202",2018-04-16,160
"203",2016-05-25,159
"204",2016-08-24,159
"205",2016-10-19,159
"206",2017-03-08,159
"207",2017-05-10,159
"208",2017-07-18,159
"209",2017-08-01,159
"210",2017-10-24,159
"211",2017-12-07,159
"212",2018-03-14,159
"213",2016-04-21,158
"214",2016-07-11,158
"215",2016-07-14,158
"216",2016-07-19,158
"217",2016-09-14,158
"218",2016-09-20,158
"219",2017-01-04,158
"220",2017-01-05,158
"221",2017-07-26,158
"222",2017-09-11,158
"223",2017-11-30,158
"224",2018-03-29,158
"225",2016-05-09,157
"226",2016-06-15,157
"227",2016-11-11,157
"228",2017-09-08,157
"229",2017-12-09,157
"230",2018-05-06,157
"231",2019-09-18,157
"232",2016-06-27,156
"233",2016-07-27,156
"234",2017-03-03,156
"235",2017-03-31,156
"236",2017-04-04,156
"237",2017-08-17,156
"238",2017-10-27,156
"239",2017-12-28,156
"240",2018-02-17,156
"241",2018-03-07,156
"242",2018-04-24,156
"243",2016-05-12,155
"244",2016-05-31,155
"245",2016-06-10,155
"246",2016-06-13,155
"247",2016-06-24,155
"248",2017-08-02,155
"249",2018-01-11,155
"250",2018-03-10,155
"251",2018-03-20,155
"252",2018-04-29,155
"253",2016-05-11,154
"254",2016-06-29,154
"255",2017-03-01,154
"256",2017-06-07,154
"257",2017-08-18,154
"258",2017-10-06,154
"259",2017-10-11,154
"260",2018-02-20,154
"261",2018-04-18,154
"262",2019-03-21,154
"263",2019-04-10,154
"264",2019-06-19,154
"265",2019-08-08,154
"266",2019-08-09,154
"267",2019-09-27,154
"268",2016-10-13,153
"269",2016-11-01,153
"270",2017-03-21,153
"271",2017-03-22,153
"272",2017-06-01,153
"273",2017-12-20,153
"274",2018-01-15,153
"275",2018-03-12,153
"276",2018-05-05,153
"277",2019-04-15,153
"278",2019-07-24,153
"279",2016-08-03,152
"280",2016-08-11,152
"281",2016-10-27,152
"282",2016-11-08,152
"283",2017-01-24,152
"284",2017-05-16,152
"285",2017-06-06,152
"286",2018-02-14,152
"287",2018-03-05,152
"288",2019-03-27,152
"289",2019-08-14,152
"290",2019-08-29,152
"291",2017-06-15,151
"292",2017-07-24,151
"293",2017-07-28,151
"294",2017-08-07,151
"295",2017-10-10,151
"296",2017-11-28,151
"297",2017-12-04,151
"298",2018-01-03,151
"299",2018-01-05,151
"300",2018-03-22,151
"301",2018-04-20,151
"302",2018-04-27,151
"303",2019-07-01,151
"304",2019-09-03,151
"305",2019-09-05,151
"306",2019-10-18,151
"307",2016-04-14,150
"308",2016-05-16,150
"309",2016-06-03,150
"310",2016-06-14,150
"311",2016-10-25,150
"312",2016-11-09,150
"313",2016-11-30,150
"314",2016-12-13,150
"315",2017-04-25,150
"316",2017-04-26,150
"317",2017-07-11,150
"318",2019-04-04,150
"319",2019-09-02,150
"320",2019-10-09,150
"321",2016-09-17,149
"322",2016-09-28,149
"323",2016-10-06,149
"324",2016-11-15,149
"325",2017-03-09,149
"326",2017-07-17,149
"327",2017-08-25,149
"328",2017-10-30,149
"329",2018-01-29,149
"330",2016-04-03,148
"331",2016-06-01,148
"332",2016-07-05,148
"333",2016-08-26,148
"334",2016-09-08,148
"335",2016-10-31,148
"336",2016-11-21,148
"337",2017-03-13,148
"338",2017-05-31,148
"339",2017-07-27,148
"340",2017-08-23,148
"341",2017-09-23,148
"342",2017-10-18,148
"343",2016-04-22,147
"344",2016-07-21,147
"345",2016-08-02,147
"346",2016-08-30,147
"347",2016-09-12,147
"348",2016-10-20,147
"349",2017-01-06,147
"350",2017-03-30,147
"351",2017-04-07,147
"352",2017-07-06,147
"353",2017-07-10,147
"354",2017-09-04,147
"355",2017-12-29,147
"356",2018-01-13,147
"357",2018-01-22,147
"358",2018-03-31,147
"359",2016-04-28,146
"360",2016-06-16,146
"361",2016-06-17,146
"362",2016-06-21,146
"363",2016-10-24,146
"364",2016-12-22,146
"365",2016-12-28,146
"366",2017-02-13,146
"367",2017-05-11,146
"368",2017-10-20,146
"369",2017-11-17,146
"370",2018-01-20,146
"371",2018-02-10,146
"372",2018-02-21,146
"373",2018-02-22,146
"374",2018-03-26,146
"375",2019-10-17,146
"376",2016-04-15,145
"377",2016-05-26,145
"378",2017-02-21,145
"379",2017-04-03,145
"380",2017-04-24,145
"381",2017-05-23,145
"382",2017-05-26,145
"383",2017-10-19,145
"384",2018-02-27,145
"385",2018-03-24,145
"386",2019-03-07,145
"387",2016-06-23,144
"388",2016-08-19,144
"389",2017-04-20,144
"390",2017-10-09,144
"391",2017-10-17,144
"392",2018-04-28,144
"393",2016-05-08,143
"394",2016-05-13,143
"395",2016-06-30,143
"396",2016-07-18,143
"397",2016-10-12,143
"398",2017-02-23,143
"399",2017-05-19,143
"400",2017-06-02,143
"401",2017-11-02,143
"402",2017-12-10,143
"403",2018-03-16,143
"404",2018-04-02,143
"405",2019-09-19,143
"406",2019-09-25,143
"407",2016-04-08,142
"408",2016-08-18,142
"409",2016-11-23,142
"410",2017-03-02,142
"411",2017-03-06,142
"412",2017-03-23,142
"413",2017-04-17,142
"414",2017-06-19,142
"415",2017-10-01,142
"416",2018-03-01,142
"417",2019-07-30,142
"418",2019-08-21,142
"419",2016-06-20,141
"420",2016-08-23,141
"421",2016-09-09,141
"422",2016-12-09,141
"423",2017-03-17,141
"424",2017-04-13,141
"425",2018-01-18,141
"426",2018-01-23,141
"427",2018-02-23,141
"428",2019-05-02,141
"429",2016-07-13,140
"430",2016-10-07,140
"431",2017-01-26,140
"432",2017-02-02,140
"433",2017-02-15,140
"434",2017-03-27,140
"435",2017-04-06,140
"436",2017-11-03,140
"437",2017-11-11,140
"438",2018-01-19,140
"439",2018-03-02,140
"440",2019-06-28,140
"441",2016-04-23,139
"442",2016-07-20,139
"443",2016-08-12,139
"444",2016-09-23,139
"445",2016-11-17,139
"446",2017-01-19,139
"447",2017-02-08,139
"448",2017-03-28,139
"449",2017-04-14,139
"450",2017-05-08,139
"451",2017-07-07,139
"452",2017-10-26,139
"453",2017-11-27,139
"454",2017-12-08,139
"455",2018-03-18,139
"456",2018-04-14,139
"457",2019-08-23,139
"458",2016-09-21,138
"459",2016-11-02,138
"460",2017-07-16,138
"461",2018-02-12,138
"462",2019-05-01,138
"463",2019-06-06,138
"464",2019-10-24,138
"465",2016-06-05,137
"466",2016-08-09,137
"467",2017-02-22,137
"468",2017-06-28,137
"469",2017-06-29,137
"470",2017-09-25,137
"471",2017-10-13,137
"472",2017-11-14,137
"473",2018-03-13,137
"474",2018-03-19,137
"475",2019-07-25,137
"476",2019-08-02,137
"477",2019-10-03,137
"478",2019-10-08,137
"479",2019-10-11,137
"480",2017-04-21,136
"481",2017-09-30,136
"482",2017-10-07,136
"483",2019-05-29,136
"484",2019-06-04,136
"485",2019-08-28,136
"486",2019-10-30,136
"487",2019-11-11,136
"488",2016-08-22,135
"489",2016-11-13,135
"490",2016-12-29,135
"491",2017-05-12,135
"492",2017-06-23,135
"493",2017-08-14,135
"494",2018-02-03,135
"495",2018-02-26,135
"496",2019-05-19,135
"497",2019-09-06,135
"498",2016-05-06,134
"499",2017-01-13,134
"500",2017-04-01,134
"501",2017-06-08,134
"502",2017-07-05,134
"503",2017-07-31,134
"504",2017-08-03,134
"505",2017-08-08,134
"506",2017-08-28,134
"507",2017-11-21,134
"508",2017-12-27,134
"509",2018-01-10,134
"510",2018-02-19,134
"511",2018-05-12,134
"512",2019-04-22,134
"513",2019-07-09,134
"514",2016-06-22,133
"515",2016-07-08,133
"516",2016-08-15,133
"517",2016-08-16,133
"518",2016-08-31,133
"519",2016-09-30,133
"520",2017-05-18,133
"521",2017-07-21,133
"522",2017-11-15,133
"523",2017-12-22,133
"524",2018-01-06,133
"525",2019-03-29,133
"526",2019-04-07,133
"527",2019-05-27,133
"528",2019-11-07,133
"529",2016-05-15,132
"530",2016-09-22,132
"531",2016-12-07,132
"532",2017-01-18,132
"533",2017-01-31,132
"534",2017-02-01,132
"535",2017-02-16,132
"536",2017-04-27,132
"537",2017-07-20,132
"538",2017-09-17,132
"539",2017-12-12,132
"540",2017-12-21,132
"541",2019-08-20,132
"542",2016-07-28,131
"543",2016-09-02,131
"544",2016-10-10,131
"545",2016-11-04,131
"546",2016-11-14,131
"547",2017-01-11,131
"548",2017-01-30,131
"549",2017-02-10,131
"550",2017-02-28,131
"551",2017-06-12,131
"552",2017-09-16,131
"553",2019-05-28,131
"554",2019-08-12,131
"555",2019-10-15,131
"556",2019-11-01,131
"557",2016-04-01,130
"558",2016-04-29,130
"559",2016-05-07,130
"560",2016-07-12,130
"561",2016-07-25,130
"562",2016-11-05,130
"563",2016-12-27,130
"564",2017-06-20,130
"565",2018-01-09,130
"566",2018-03-03,130
"567",2018-04-07,130
"568",2018-10-31,130
"569",2019-04-30,130
"570",2019-05-09,130
"571",2016-12-02,129
"572",2017-01-09,129
"573",2017-10-14,129
"574",2016-05-27,128
"575",2016-11-22,128
"576",2017-03-19,128
"577",2017-06-04,128
"578",2017-08-11,128
"579",2018-02-18,128
"580",2018-10-30,128
"581",2019-05-30,128
"582",2019-08-06,128
"583",2016-11-29,127
"584",2017-01-03,127
"585",2017-02-07,127
"586",2017-05-17,127
"587",2017-08-09,127
"588",2019-02-21,127
"589",2019-03-06,127
"590",2019-03-14,127
"591",2019-05-12,127
"592",2019-07-11,127
"593",2019-11-15,127
"594",2016-06-25,126
"595",2016-11-10,126
"596",2017-03-25,126
"597",2017-10-31,126
"598",2017-12-15,126
"599",2018-04-06,126
"600",2016-06-04,125
"601",2016-07-22,125
"602",2016-08-25,125
"603",2016-12-08,125
"604",2017-01-25,125
"605",2017-05-04,125
"606",2017-05-05,125
"607",2017-06-11,125
"608",2017-06-16,125
"609",2017-06-30,125
"610",2017-09-09,125
"611",2019-07-28,125
"612",2019-09-12,125
"613",2019-11-13,125
"614",2016-07-01,124
"615",2016-08-05,124
"616",2017-04-02,124
"617",2017-05-22,124
"618",2017-05-25,124
"619",2017-12-19,124
"620",2017-12-26,124
"621",2018-03-04,124
"622",2019-09-09,124
"623",2019-10-14,124
"624",2016-11-28,123
"625",2017-03-26,123
"626",2017-04-15,123
"627",2017-05-27,123
"628",2017-05-28,123
"629",2017-09-01,123
"630",2017-10-08,123
"631",2019-08-19,123
"632",2019-08-25,123
"633",2019-10-04,123
"634",2016-05-28,122
"635",2016-11-07,122
"636",2017-07-23,122
"637",2017-11-22,122
"638",2019-07-17,122
"639",2019-09-10,122
"640",2016-04-16,121
"641",2016-06-12,121
"642",2016-07-17,121
"643",2016-09-03,121
"644",2016-10-28,121
"645",2016-12-04,121
"646",2017-07-14,121
"647",2017-09-10,121
"648",2017-09-24,121
"649",2017-11-25,121
"650",2018-04-15,121
"651",2019-04-09,121
"652",2019-08-07,121
"653",2016-05-01,120
"654",2016-10-14,120
"655",2017-02-04,120
"656",2017-03-12,120
"657",2017-05-29,120
"658",2017-07-04,120
"659",2017-07-13,120
"660",2017-10-15,120
"661",2017-11-18,120
"662",2017-11-24,120
"663",2019-05-17,120
"664",2019-08-27,120
"665",2019-11-22,120
"666",2016-04-02,119
"667",2016-05-22,119
"668",2016-05-29,119
"669",2016-08-08,119
"670",2016-09-11,119
"671",2016-10-30,119
"672",2017-01-27,119
"673",2017-02-25,119
"674",2017-06-14,119
"675",2017-07-03,119
"676",2017-11-13,119
"677",2017-12-16,119
"678",2018-04-01,119
"679",2018-05-13,119
"680",2019-01-02,119
"681",2019-04-29,119
"682",2019-09-07,119
"683",2019-11-03,119
"684",2019-11-08,119
"685",2016-07-30,118
"686",2017-02-03,118
"687",2017-02-24,118
"688",2017-04-09,118
"689",2017-06-17,118
"690",2017-11-10,118
"691",2018-01-14,118
"692",2019-05-05,118
"693",2019-06-20,118
"694",2019-09-21,118
"695",2016-12-15,117
"696",2017-02-06,117
"697",2017-06-10,117
"698",2017-11-19,117
"699",2017-12-01,117
"700",2017-12-02,117
"701",2018-11-07,117
"702",2019-03-15,117
"703",2019-06-10,117
"704",2019-06-25,117
"705",2019-07-26,117
"706",2016-12-14,116
"707",2017-02-09,116
"708",2017-03-24,116
"709",2017-05-14,116
"710",2017-06-03,116
"711",2017-06-09,116
"712",2017-06-21,116
"713",2017-06-26,116
"714",2018-01-08,116
"715",2018-03-11,116
"716",2019-08-10,116
"717",2019-10-10,116
"718",2019-10-25,116
"719",2016-06-18,115
"720",2016-08-06,115
"721",2016-10-08,115
"722",2016-10-21,115
"723",2016-11-18,115
"724",2016-12-16,115
"725",2017-02-14,115
"726",2017-02-27,115
"727",2017-03-04,115
"728",2017-04-23,115
"729",2017-07-22,115
"730",2017-07-30,115
"731",2017-08-06,115
"732",2017-11-05,115
"733",2017-11-16,115
"734",2018-04-21,115
"735",2019-08-26,115
"736",2016-07-29,114
"737",2016-10-01,114
"738",2016-11-06,114
"739",2017-04-08,114
"740",2017-12-17,114
"741",2019-02-12,114
"742",2019-07-12,114
"743",2016-05-14,113
"744",2016-07-15,113
"745",2016-08-28,113
"746",2017-01-02,113
"747",2017-01-22,113
"748",2017-06-13,113
"749",2017-06-27,113
"750",2017-07-15,113
"751",2018-01-07,113
"752",2019-04-25,113
"753",2019-04-28,113
"754",2019-05-13,113
"755",2019-09-26,113
"756",2016-04-10,112
"757",2016-05-30,112
"758",2016-12-30,112
"759",2017-02-12,112
"760",2017-03-20,112
"761",2018-01-28,112
"762",2019-03-08,112
"763",2019-06-14,112
"764",2019-07-16,112
"765",2019-11-27,112
"766",2016-08-13,111
"767",2016-10-16,111
"768",2016-11-12,111
"769",2017-07-01,111
"770",2017-08-19,111
"771",2017-11-12,111
"772",2019-07-29,111
"773",2019-07-31,111
"774",2016-07-02,110
"775",2016-11-25,110
"776",2017-07-09,110
"777",2017-11-04,110
"778",2018-02-25,110
"779",2018-12-12,110
"780",2019-04-18,110
"781",2019-08-13,110
"782",2016-07-23,109
"783",2017-01-23,109
"784",2017-09-03,109
"785",2018-01-27,109
"786",2018-10-29,109
"787",2018-12-19,109
"788",2019-07-13,109
"789",2019-11-16,109
"790",2016-04-24,108
"791",2016-09-10,108
"792",2016-12-11,108
"793",2017-01-07,108
"794",2017-01-16,108
"795",2017-03-11,108
"796",2017-05-20,108
"797",2017-08-27,108
"798",2019-04-17,108
"799",2019-08-24,108
"800",2019-11-21,108
"801",2016-06-11,107
"802",2016-08-27,107
"803",2017-03-18,107
"804",2017-08-13,107
"805",2017-10-21,107
"806",2017-12-03,107
"807",2019-04-05,107
"808",2019-04-14,107
"809",2019-05-08,107
"810",2019-06-02,107
"811",2019-07-18,107
"812",2019-09-24,107
"813",2019-10-07,107
"814",2016-10-29,106
"815",2017-02-18,106
"816",2017-07-08,106
"817",2017-12-30,106
"818",2018-11-05,106
"819",2018-11-06,106
"820",2019-01-21,106
"821",2019-07-08,106
"822",2016-04-07,105
"823",2016-12-19,105
"824",2017-02-17,105
"825",2017-10-12,105
"826",2018-02-24,105
"827",2018-03-25,105
"828",2019-02-19,105
"829",2019-03-13,105
"830",2019-10-05,105
"831",2019-11-14,105
"832",2016-07-03,104
"833",2016-07-16,104
"834",2016-08-14,104
"835",2016-08-20,104
"836",2017-01-15,104
"837",2017-01-20,104
"838",2017-04-28,104
"839",2017-10-28,104
"840",2018-11-08,104
"841",2019-04-16,104
"842",2019-05-15,104
"843",2019-07-22,104
"844",2019-09-08,104
"845",2019-11-04,104
"846",2016-06-19,103
"847",2016-09-25,103
"848",2016-10-09,103
"849",2017-01-21,103
"850",2017-04-29,103
"851",2017-05-06,103
"852",2018-01-01,103
"853",2019-09-13,103
"854",2016-04-30,102
"855",2016-09-05,102
"856",2016-09-18,102
"857",2017-02-19,102
"858",2017-07-29,102
"859",2018-05-14,102
"860",2019-02-28,102
"861",2019-07-23,102
"862",2019-10-29,102
"863",2016-06-26,101
"864",2016-12-17,101
"865",2017-02-26,101
"866",2017-03-05,101
"867",2017-06-22,101
"868",2017-08-05,101
"869",2018-09-19,101
"870",2018-10-10,101
"871",2019-05-31,101
"872",2016-05-21,100
"873",2016-12-03,100
"874",2017-01-29,100
"875",2017-08-26,100
"876",2018-02-11,100
"877",2018-09-17,100
"878",2018-11-14,100
"879",2019-05-23,100
"880",2019-06-07,100
"881",2019-06-13,100
"882",2019-06-22,100
"883",2019-06-24,100
"884",2019-07-04,100
"885",2017-02-05,99
"886",2017-12-23,99
"887",2018-04-08,99
"888",2018-10-17,99
"889",2019-02-20,99
"890",2019-04-26,99
"891",2019-06-16,99
"892",2016-10-23,98
"893",2016-11-27,98
"894",2017-01-10,98
"895",2018-03-17,98
"896",2018-09-18,98
"897",2018-10-22,98
"898",2018-10-24,98
"899",2019-05-20,98
"900",2016-07-31,97
"901",2016-10-15,97
"902",2016-12-26,97
"903",2016-12-31,97
"904",2017-01-14,97
"905",2017-04-22,97
"906",2017-04-30,97
"907",2017-05-21,97
"908",2018-04-22,97
"909",2018-12-04,97
"910",2019-01-03,97
"911",2019-01-31,97
"912",2019-02-27,97
"913",2019-07-07,97
"914",2019-09-01,97
"915",2019-11-20,97
"916",2016-04-17,96
"917",2017-01-28,96
"918",2017-02-20,96
"919",2017-04-16,96
"920",2017-05-13,96
"921",2018-01-21,96
"922",2018-05-15,96
"923",2018-12-18,96
"924",2019-01-30,96
"925",2019-03-16,96
"926",2019-05-10,96
"927",2019-07-06,96
"928",2019-07-14,96
"929",2016-04-09,95
"930",2016-09-24,95
"931",2018-10-25,95
"932",2019-01-23,95
"933",2019-07-27,95
"934",2016-10-02,94
"935",2017-10-22,94
"936",2019-02-22,94
"937",2019-07-05,94
"938",2019-08-16,94
"939",2019-10-28,94
"940",2016-08-21,93
"941",2016-10-22,93
"942",2016-11-20,93
"943",2017-11-26,93
"944",2018-08-09,93
"945",2018-09-11,93
"946",2018-12-17,93
"947",2019-01-01,93
"948",2019-04-27,93
"949",2019-05-06,93
"950",2019-05-22,93
"951",2019-10-22,93
"952",2019-11-12,93
"953",2016-08-07,92
"954",2017-07-02,92
"955",2018-06-12,92
"956",2018-10-09,92
"957",2019-03-26,92
"958",2019-04-20,92
"959",2019-07-02,92
"960",2019-08-18,92
"961",2017-04-10,91
"962",2017-09-02,91
"963",2018-07-23,91
"964",2019-01-25,91
"965",2019-03-11,91
"966",2019-08-30,91
"967",2019-09-20,91
"968",2016-07-24,90
"969",2016-12-23,90
"970",2017-08-12,90
"971",2018-11-03,90
"972",2018-11-28,90
"973",2018-12-06,90
"974",2019-04-08,90
"975",2019-05-24,90
"976",2017-06-24,89
"977",2019-01-16,89
"978",2019-02-06,89
"979",2019-04-03,89
"980",2019-06-18,89
"981",2016-07-04,88
"982",2016-12-18,88
"983",2017-02-11,88
"984",2018-10-05,88
"985",2018-12-26,88
"986",2019-01-18,88
"987",2019-02-03,88
"988",2019-02-26,88
"989",2019-03-19,88
"990",2019-09-15,88
"991",2019-11-05,88
"992",2017-08-20,87
"993",2017-12-24,87
"994",2018-12-28,87
"995",2019-02-02,87
"996",2019-03-18,87
"997",2019-03-23,87
"998",2019-04-01,87
"999",2019-04-23,87
"1000",2019-09-17,87
"1001",2016-07-09,86
"1002",2018-09-20,86
"1003",2018-09-24,86
"1004",2018-09-26,86
"1005",2018-09-27,86
"1006",2019-06-11,86
"1007",2019-11-17,86
"1008",2018-05-16,85
"1009",2018-10-04,85
"1010",2018-11-15,85
"1011",2018-12-05,85
"1012",2019-02-18,85
"1013",2019-03-10,85
"1014",2019-03-25,85
"1015",2019-04-02,85
"1016",2019-08-05,85
"1017",2018-06-04,84
"1018",2018-11-12,84
"1019",2018-12-07,84
"1020",2018-12-20,84
"1021",2019-04-21,84
"1022",2019-05-03,84
"1023",2019-06-09,84
"1024",2019-06-23,84
"1025",2016-11-26,83
"1026",2017-01-08,83
"1027",2017-06-18,83
"1028",2017-12-31,83
"1029",2018-09-28,83
"1030",2019-01-15,83
"1031",2019-02-05,83
"1032",2019-03-20,83
"1033",2019-09-16,83
"1034",2019-10-01,83
"1035",2019-10-21,83
"1036",2016-11-24,82
"1037",2018-07-26,82
"1038",2018-09-02,82
"1039",2019-03-22,82
"1040",2019-05-18,82
"1041",2019-07-20,82
"1042",2019-09-30,82
"1043",2016-09-04,81
"1044",2017-10-29,81
"1045",2018-11-30,81
"1046",2018-12-22,81
"1047",2019-02-15,81
"1048",2019-03-04,81
"1049",2019-04-19,81
"1050",2019-05-07,81
"1051",2019-05-26,81
"1052",2019-09-23,81
"1053",2019-10-31,81
"1054",2018-07-24,80
"1055",2018-08-08,80
"1056",2018-10-08,80
"1057",2018-11-21,80
"1058",2018-12-24,80
"1059",2019-07-21,80
"1060",2016-07-10,79
"1061",2017-05-07,79
"1062",2018-10-01,79
"1063",2018-11-20,79
"1064",2018-11-25,79
"1065",2018-12-01,79
"1066",2019-05-11,79
"1067",2019-10-19,79
"1068",2018-09-09,78
"1069",2019-01-29,78
"1070",2019-02-14,78
"1071",2019-04-13,78
"1072",2019-05-16,78
"1073",2019-06-27,78
"1074",2019-08-17,78
"1075",2018-09-12,77
"1076",2019-01-11,77
"1077",2019-01-12,77
"1078",2019-02-24,77
"1079",2019-03-17,77
"1080",2019-04-12,77
"1081",2019-07-19,77
"1082",2019-10-26,77
"1083",2017-01-01,76
"1084",2018-08-01,76
"1085",2018-09-13,76
"1086",2018-10-23,76
"1087",2018-10-26,76
"1088",2018-11-29,76
"1089",2019-02-01,76
"1090",2019-02-11,76
"1091",2019-03-12,76
"1092",2019-04-06,76
"1093",2019-05-04,76
"1094",2019-06-17,76
"1095",2019-08-11,76
"1096",2018-07-31,75
"1097",2018-09-14,75
"1098",2019-02-07,75
"1099",2019-05-14,75
"1100",2019-08-04,75
"1101",2018-07-12,74
"1102",2018-07-25,74
"1103",2018-09-15,74
"1104",2018-12-10,74
"1105",2019-09-14,74
"1106",2019-10-06,74
"1107",2018-05-28,73
"1108",2018-10-02,73
"1109",2018-11-17,73
"1110",2018-12-11,73
"1111",2019-11-29,73
"1112",2016-12-24,72
"1113",2018-05-24,72
"1114",2018-07-10,72
"1115",2018-07-17,72
"1116",2018-07-18,72
"1117",2018-08-06,72
"1118",2018-09-03,72
"1119",2018-09-05,72
"1120",2018-09-23,72
"1121",2018-11-19,72
"1122",2019-01-17,72
"1123",2016-12-10,71
"1124",2017-11-23,71
"1125",2017-12-25,71
"1126",2018-09-04,71
"1127",2018-09-08,71
"1128",2018-09-22,71
"1129",2018-10-11,71
"1130",2018-11-13,71
"1131",2018-12-27,71
"1132",2019-01-19,71
"1133",2019-02-13,71
"1134",2019-04-11,71
"1135",2019-06-03,71
"1136",2019-06-26,71
"1137",2019-09-29,71
"1138",2016-11-19,70
"1139",2018-06-06,70
"1140",2018-07-09,70
"1141",2018-08-21,70
"1142",2018-08-28,70
"1143",2018-09-07,70
"1144",2018-09-10,70
"1145",2018-09-16,70
"1146",2018-11-01,70
"1147",2018-12-03,70
"1148",2018-12-29,70
"1149",2019-03-01,70
"1150",2019-06-29,70
"1151",2019-07-15,70
"1152",2018-09-06,69
